Metodo,Ruta,OperationId,Tags,TieneSecurity,Security,Summary
GET,/ach-returns/cycles/{cycleId}/transactions,,AchReturns,No,None,Transacciones elegibles para devoluciones por ciclo
POST,/ach-returns/generate-file,,AchReturns,No,None,Generación de archivo de devoluciones
POST,/api/ach-traceability/sol02/{transactionId}/certify,,AchTraceability,No,None,Aplicar certificación SOL02 a transacción
GET,/api/ach-traceability/transactions/{transactionId},,AchTraceability,No,None,Consulta trazabilidad de una transacción
GET,/api/ach-traceability/report,,AchTraceability,No,None,Reporte de trazabilidad por rango
POST,/Auth/login,,Auth,No,None,Registro de seguridad bancaria: registra una solicitud de login dentro de seguridad bancaria para la ruta /Auth/login
POST,/Auth/forgot-password,,Auth,No,None,Registro de seguridad bancaria: registra una solicitud de forgot password dentro de seguridad bancaria para la ruta /Auth/forgot-password
POST,/Auth/reset-password,,Auth,No,None,Registro de seguridad bancaria: registra una solicitud de reset password dentro de seguridad bancaria para la ruta /Auth/reset-password
POST,/Auth/refresh,,Auth,No,None,Registro de seguridad bancaria: registra una solicitud de refresh session dentro de seguridad bancaria para la ruta /Auth/refresh
GET,/api/auth-logs,,AuthLogs,No,None,Consulta de seguridad bancaria: consulta get auth logs dentro de seguridad bancaria para la ruta /api/auth-logs
GET,/api/users/branding,,Branding,No,None,Consulta de branding: consulta get branding dentro de branding para la ruta /api/users/branding
PUT,/api/users/branding,,Branding,No,None,Actualización de branding: actualiza información de save branding dentro de branding para la ruta /api/users/branding
POST,/api/transactions/bulk-ingestion/upload,,BulkIngestion,No,None,Carga masiva de archivo para procesamiento por lotes
GET,/api/transactions/bulk-ingestion/{batchId},,BulkIngestion,No,None,Consulta de estado general de lote masivo
GET,/api/transactions/bulk-ingestion/{batchId}/items,,BulkIngestion,No,None,Consulta paginada de ítems del lote masivo
GET,/api/transactions/bulk-ingestion/{batchId}/summary,,BulkIngestion,No,None,Resumen de procesamiento y errores del lote
POST,/api/transactions/bulk-ingestion/{batchId}/retry,,BulkIngestion,No,None,Reintento operativo de lote o subconjunto de ítems
POST,/api/transactions/bulk-ingestion/{batchId}/cancel,,BulkIngestion,No,None,Solicitud operativa de cancelación de lote masivo
GET,/api/cenit/queues,,CenitOperations,No,None,Cola de ejecución de ciclos CENIT
GET,/api/cenit/net-positions,,CenitOperations,No,None,Posiciones netas de liquidez por ejecución
GET,/api/cenit/optimization-decisions,,CenitOperations,No,None,Decisiones de optimización de liquidez
GET,/api/cenit/traceability,,CenitOperations,No,None,Trazabilidad CENIT de transacciones
POST,/nacha-security/certificates/management/public,,CertificateManagement,No,None,Cargar certificado público
POST,/nacha-security/certificates/management/private,,CertificateManagement,No,None,Registrar certificado privado
GET,/nacha-security/certificates/management,,CertificateManagement,No,None,Consulta de certificados por filtros de gestión
GET,/nacha-security/certificates/management/{id}/versions,,CertificateManagement,No,None,Versiones de un certificado
POST,/nacha-security/certificates/management/versions/{id}/activate,,CertificateManagement,No,None,Activar versión de certificado
POST,/nacha-security/certificates/management/versions/{id}/revoke,,CertificateManagement,No,None,Revocar versión de certificado
POST,/nacha-security/certificates/management/versions/{id}/validate,,CertificateManagement,No,None,Validar versión para activación
GET,/nacha-security/certificates/management/audit,,CertificateManagement,No,None,Auditoría de cargas de certificados
GET,/nacha-security/certificates,,DigitalEnvelopeCertificates,No,None,Inventario de certificados de sobre digital
POST,/nacha-security/certificates,,DigitalEnvelopeCertificates,No,None,Cargar o actualizar certificado de sobre digital
DELETE,/nacha-security/certificates/{id},,DigitalEnvelopeCertificates,No,None,Eliminar certificado de sobre digital
GET,/incoming-nacha-command-center/observability/summary,,IncomingNachaCommandCenter,No,None,Panel consolidado de observabilidad de inbound NACHA-M
GET,/incoming-nacha-command-center/ingestions,,IncomingNachaCommandCenter,No,None,Consulta paginada de ingestas inbound NACHA-M
GET,/incoming-nacha-command-center/ingestions/{ingestionId},,IncomingNachaCommandCenter,No,None,Detalle técnico y operativo de una ingesta inbound
GET,/incoming-nacha-command-center/queue,,IncomingNachaCommandCenter,No,None,Vista operativa de dispatch queue inbound NACHA-M
GET,/incoming-nacha-command-center/queue/{queueId},,IncomingNachaCommandCenter,No,None,Detalle de item de dispatch queue con acciones permitidas
POST,/incoming-nacha-command-center/queue/{queueId}/retry,,IncomingNachaCommandCenter,No,None,Acción manual de retry sobre item de dispatch queue
POST,/incoming-nacha-command-center/queue/{queueId}/unblock,,IncomingNachaCommandCenter,No,None,Acción manual de unblock sobre item bloqueado
POST,/incoming-nacha-command-center/queue/{queueId}/requeue,,IncomingNachaCommandCenter,No,None,Acción manual de requeue para reproceso controlado
POST,/incoming-nacha-command-center/queue/{queueId}/mark-failed-final,,IncomingNachaCommandCenter,No,None,Acción manual mark-failed-final para cierre operativo
GET,/api/users/login-lockout,,LoginLockoutSettings,No,None,Consulta de login lockout settings: consulta get dentro de login lockout settings para la ruta /api/users/login-lockout
PUT,/api/users/login-lockout,,LoginLockoutSettings,No,None,Actualización de login lockout settings: actualiza información de save dentro de login lockout settings para la ruta /api/users/login-lockout
GET,/nacha-config/perfiles,,NachaConfigProfiles,No,None,Consulta de operación NACHA-M: consulta get profiles dentro de operación NACHA-M para la ruta /nacha-config/perfiles
POST,/nacha-config/perfiles,,NachaConfigProfiles,No,None,Registro de operación NACHA-M: registra una solicitud de create draft dentro de operación NACHA-M para la ruta /nacha-config/perfiles
GET,/nacha-config/catalogos-filtro,,NachaConfigProfiles,No,None,Consulta de operación NACHA-M: consulta get filter catalogs dentro de operación NACHA-M para la ruta /nacha-config/catalogos-filtro
GET,/nacha-config/perfiles/{id},,NachaConfigProfiles,No,None,Consulta de operación NACHA-M: consulta get profile dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}
PUT,/nacha-config/perfiles/{id},,NachaConfigProfiles,No,None,Actualización de operación NACHA-M: actualiza información de update draft dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}
POST,/nacha-config/perfiles/{id}/clonar,,NachaConfigProfiles,No,None,Registro de operación NACHA-M: registra una solicitud de clone dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/clonar
POST,/nacha-config/perfiles/{id}/validar,,NachaConfigProfiles,No,None,Registro de operación NACHA-M: registra una solicitud de validate dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/validar
POST,/nacha-config/perfiles/{id}/publicar,,NachaConfigProfiles,No,None,Registro de operación NACHA-M: registra una solicitud de publish dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/publicar
POST,/nacha-config/perfiles/{id}/inactivar,,NachaConfigProfiles,No,None,Registro de operación NACHA-M: registra una solicitud de inactivate dentro de operación NACHA-M para la ruta /nacha-config/perfiles/{id}/inactivar
