metodo,ruta,summary,description,summary_generico,description_generica,es_generica
POST,/Auth/forgot-password,Registro de seguridad bancaria: registra una solicitud de forgot password dentro de seguridad bancaria para la ruta /Auth/forgot-password,"Qué hace: registra una solicitud de forgot password dentro de seguridad bancaria para la ruta /Auth/forgot-password. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en seguridad bancaria (/Auth/forgot-password). Perfil consumidor: seguridad bancaria, administradores de plataforma y auditoría técnica. Permiso requerido: acceso anónimo. Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: alto; requiere segregación de funciones, revisión de autorizaciones y manejo seguro de evidencia. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio seguridad bancaria dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /Auth/forgot-password.",no,no,no
POST,/Auth/login,Registro de seguridad bancaria: registra una solicitud de login dentro de seguridad bancaria para la ruta /Auth/login,"Qué hace: registra una solicitud de login dentro de seguridad bancaria para la ruta /Auth/login. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en seguridad bancaria (/Auth/login). Perfil consumidor: seguridad bancaria, administradores de plataforma y auditoría técnica. Permiso requerido: acceso anónimo. Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: alto; requiere segregación de funciones, revisión de autorizaciones y manejo seguro de evidencia. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio seguridad bancaria dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /Auth/login.",no,no,no
POST,/Auth/refresh,Registro de seguridad bancaria: registra una solicitud de refresh session dentro de seguridad bancaria para la ruta /Auth/refresh,"Qué hace: registra una solicitud de refresh session dentro de seguridad bancaria para la ruta /Auth/refresh. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en seguridad bancaria (/Auth/refresh). Perfil consumidor: seguridad bancaria, administradores de plataforma y auditoría técnica. Permiso requerido: requiere token válido con autorización. Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: alto; requiere segregación de funciones, revisión de autorizaciones y manejo seguro de evidencia. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio seguridad bancaria dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /Auth/refresh.",no,no,no
POST,/Auth/reset-password,Registro de seguridad bancaria: registra una solicitud de reset password dentro de seguridad bancaria para la ruta /Auth/reset-password,"Qué hace: registra una solicitud de reset password dentro de seguridad bancaria para la ruta /Auth/reset-password. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en seguridad bancaria (/Auth/reset-password). Perfil consumidor: seguridad bancaria, administradores de plataforma y auditoría técnica. Permiso requerido: acceso anónimo. Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: alto; requiere segregación de funciones, revisión de autorizaciones y manejo seguro de evidencia. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio seguridad bancaria dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /Auth/reset-password.",no,no,no
POST,/Maintenance/seed,Registro de maintenance: registra una solicitud de run db initializer dentro de maintenance para la ruta /Maintenance/seed,"Qué hace: registra una solicitud de run db initializer dentro de maintenance para la ruta /Maintenance/seed. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en maintenance (/Maintenance/seed). Perfil consumidor: equipos funcionales y técnicos responsables de maintenance. Permiso requerido: requiere token válido (sin política explícita en atributo). Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: medio/alto; un cambio incorrecto puede afectar conciliación ACH, trazabilidad CENIT o integridad NACHA-M. Relación ACH/CENIT/NACHA-M: mantiene consistencia operativa del dominio maintenance dentro del circuito ACH/CENIT/NACHA-M. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /Maintenance/seed.",no,no,no
POST,/Nacha/header,Registro de operación NACHA-M: registra una solicitud de save header dentro de operación NACHA-M para la ruta /Nacha/header,"Qué hace: registra una solicitud de save header dentro de operación NACHA-M para la ruta /Nacha/header. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en operación NACHA-M (/Nacha/header). Perfil consumidor: equipos funcionales y técnicos responsables de operación NACHA-M. Permiso requerido: acceso anónimo. Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: medio/alto; un cambio incorrecto puede afectar conciliación ACH, trazabilidad CENIT o integridad NACHA-M. Relación ACH/CENIT/NACHA-M: controla trazabilidad, generación, recepción o aseguramiento de archivos NACHA-M con impacto directo en compensación ACH/CENIT. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /Nacha/header.",no,no,no
GET,/NachaExport/{cycleId},Exportar archivo NACHA de un ciclo,"Qué hace: genera/retorna archivo NACHA del ciclo con política de nombre externo y control de duplicados. Cuándo se usa: en cierre de ciclo para entrega interbancaria. Perfil consumidor: operación ACH de compensación. Permiso requerido: CanReadAch. Tipo de operación: solo consulta. Genera auditoría: sí, por auditoría de exportación y nombre externo. Riesgos operativos: exportar ciclo no listo produce archivo inconsistente. Errores esperados: 404 ciclo/cámara no encontrada; 409 por política de nombre duplicado; 400 por validación. Relación ACH/CENIT/NACHA-M: salida NACHA-M oficial para flujo ACH/CENIT. Precauciones para desarrollo u operación: verificar estado de ciclo y correlación externa antes de distribuir.",no,no,no
GET,/NachaExport/{cycleId}/sobre-digital,Exportar NACHA con sobre digital,"Qué hace: genera exportación aplicando cifrado según política o forzado explícito. Cuándo se usa: cuando la contraparte exige sobre digital. Perfil consumidor: operación ACH y seguridad. Permiso requerido: CanReadAch. Tipo de operación: solo consulta. Genera auditoría: sí, por auditoría de exportación y seguridad. Riesgos operativos: cifrado inadecuado impide recepción por contraparte. Errores esperados: 400 por parámetros/política; 404 ciclo; 409 por conflictos de nombre. Relación ACH/CENIT/NACHA-M: integra generación NACHA-M con seguridad criptográfica operativa. Precauciones para desarrollo u operación: confirmar certificados activos y política de cifrado vigente.",no,no,no
GET,/NachaUpload/records,Consulta de operación NACHA-M: consulta get uploaded records dentro de operación NACHA-M para la ruta /NachaUpload/records,"Qué hace: consulta get uploaded records dentro de operación NACHA-M para la ruta /NachaUpload/records. Cuándo se usa: se utiliza en monitoreo operativo, conciliación y soporte cuando se requiere visibilidad puntual en operación NACHA-M (/NachaUpload/records). Perfil consumidor: equipos funcionales y técnicos responsables de operación NACHA-M. Permiso requerido: CanReadAch. Tipo de operación: GET. Naturaleza: solo consulta. Genera auditoría: sí, por trazas de acceso y correlación operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: medio; consultas con filtros incorrectos pueden producir diagnósticos operativos erróneos. Relación ACH/CENIT/NACHA-M: controla trazabilidad, generación, recepción o aseguramiento de archivos NACHA-M con impacto directo en compensación ACH/CENIT. Precauciones para desarrollo u operación: validar filtros, rangos de fecha y correlación de identificadores antes de usar resultados de /NachaUpload/records en decisiones operativas.",no,no,no
POST,/NachaUpload/upload,Registro de operación NACHA-M: registra una solicitud de upload nacha file dentro de operación NACHA-M para la ruta /NachaUpload/upload,"Qué hace: registra una solicitud de upload nacha file dentro de operación NACHA-M para la ruta /NachaUpload/upload. Cuándo se usa: se utiliza durante ventanas operativas controladas cuando se requiere aplicar cambios en operación NACHA-M (/NachaUpload/upload). Perfil consumidor: equipos funcionales y técnicos responsables de operación NACHA-M. Permiso requerido: CanReadAch + CanManageAch. Tipo de operación: POST. Naturaleza: modifica información. Genera auditoría: sí, explícita por cambio de estado o acción operativa. Códigos de respuesta deducibles: 200. Riesgo operativo: medio/alto; un cambio incorrecto puede afectar conciliación ACH, trazabilidad CENIT o integridad NACHA-M. Relación ACH/CENIT/NACHA-M: controla trazabilidad, generación, recepción o aseguramiento de archivos NACHA-M con impacto directo en compensación ACH/CENIT. Precauciones para desarrollo u operación: aplicar segregación de funciones, bitácora de cambio y verificación de impacto antes de confirmar la acción en /NachaUpload/upload.",no,no,no
